keys,fr,es,pt_BR,it
GENERAL_CONDITIONS_TEXT,"[b]PRÉAMBULE[/b]

Les présentes Conditions Générales d'Utilisation sont disponibles à tout moment : excellolab.org/cgu

Elles déterminent les règles d'accès à nos plateformes sur le site Excello et ses sous-domaines, où se trouvent des contenus numériques pédagogiques, ci-après dénommée la plateforme.

En utilisant cette plateforme, vous reconnaissez, en votre qualité d'utilisateur/enseignant et/ou responsable légal de l'élève mineur à en connaître les termes, les accepter sans réserve et vous y conformer.

Le responsable du traitement se réserve le droit, à leur seule discrétion et sans information préalable, de modifier, supprimer ou ajouter des mentions aux présentes [b]Conditions Générales d'Utilisation[/b], et ce à tout moment afin notamment de prendre en compte toute évolution légale, jurisprudentielle, éditoriale et/ou technique. La version qui prévaut est celle qui est accessible en ligne.

Il vous est donc conseillé de vous référer régulièrement à la dernière version desdites Conditions Générales d'Utilisation.

[b]ARTICLE 1 - USAGE UTILISATEUR, INFORMATIONS PRATIQUES[/b]

L'association Excello a pour objet la recherche, le développement et la diffusion des connaissances dans le domaine de l'éducation, particulièrement en matière d'amélioration de l'apprentissage de la lecture et des mathématiques. Excello élabore et fournit des ressources pédagogiques associées, notamment par le recours aux nouvelles technologies.

[b]1/ Accès aux applications éducative crées par Excello[/b]

Les activités sont disponibles en permanence (24/7) :

- Sur les applications mobile d'Excello, disponibles sur les stores Android et Apple pour être jouéee sur une tablette/smartphone Android 5.1+ et iOS 11+. L'usage d'une tablette est recommandé pour une utilisation optimale du service.
- Sur l'application web en utilisant Google Chrome ou Mozilla Firefox sur Windows, Ubuntu et Android et en utilisant Safari sur MacOs et iOs.
- L'utilisation de l'application peut se faire par un enseignant qui crée un compte pour sa classe, ou par un tuteur légal qui crée un compte pour son enfant.

Une fois l'application installée, l'usage d'internet n'est pas obligatoire. Certaines fonctionnalités seront en revanche désactivées : transcription de la voix en texte et reconnaissance manuscrite.

Dans le cas où l'application est utilisée hors ligne (sans internet), les traces d'apprentissage (résultats des exercices) sont sauvegardées sur l'appareil et ne seront envoyées sur la plateforme qu'une fois le retour d'une connexion à internet.

[b]2/ Accès aux plateformes créées par Excello[/b]

Pour une première utilisation de nos plateformes, il faudra :

- Créer un compte adulte (gardien d'enfant/enseignant).
- Retrouver toutes les informations collectées dans notre politique de confidentialité.

[b]3/ Assistance technique[/b]

En cas d'incident technique sur l'application ou la plateforme, privilégiez l'envoi d'un message à : contact@excellolab.org

Nos équipes mettront tout en œuvre pour vous répondre et résoudre les incidents dans les plus brefs délais.

[b]4/ Matériel utilisé[/b]

L'appareil utilisé devra répondre aux caractéristiques suivantes pour assurer une bonne utilisation des applications Excello :

[b]Minimum :[/b]

- Système : PC Android IOS (Chrome, Firefox, Safari >= 13)
- Processeur : 4 coeurs 1.4 GHz
- Mémoire : 2 GB RAM

[b]Recommandé, pour un rendu optimal :[/b]

- Système : PC Android IOS (Chrome, Firefox, Safari >= 14)
- Processeur : 4 coeurs 2 GHz
- Mémoire : 2 GB RAM

[b]ARTICLE 2 - LICENCE D'UTILISATION[/b]

L'accès à la présente Plateforme vous confère un droit d'usage de celle-ci à titre non exclusif, privé et/ou collectif.

Votre usage de la Plateforme emporte acceptation sans réserve des présentes Conditions Générales d'Utilisation.

L'ensemble des contenus édités sur la Plateforme, incluant à titre non limitatif : les textes, les photographies, les illustrations, les graphismes, les infographies, les cartes, les vidéogrammes, les musiques, les icônes, les logiciels, ci-après dénommés [b]« les Contenus »[/b], sont sous une license CC BY-SA 4.0 .

En application de l'article L. 122-4 du Code de la Propriété Intellectuelle, toute représentation ou reproduction intégrale ou partielle faite sans le consentement de l'auteur ou de ses ayants droit ou ayants cause est illicite. Il en est de même pour la traduction, l'adaptation ou la transformation, l'arrangement ou la reproduction par un art ou un procédé quelconque.

Nous vous rappelons également que la violation des droits d'auteur constitue un délit de contrefaçon puni en France de trois ans d'emprisonnement et de 300. 000 euros d'amende.

De même, le Code de la propriété intellectuelle punit de trois ans d'emprisonnement et de 300.000 euros d'amende toute fixation, reproduction, communication ou mise à la disposition du public, à titre onéreux ou gratuit, ou toute télédiffusion d'une prestation, d'un phonogramme, d'un vidéogramme ou d'un programme, sans l'autorisation, lorsqu'elle est exigée, du titulaire des droits.

[b]ARTICLE 3 - LIMITATION DE RESPONSABILITÉ[/b]

Vous êtes seul responsable des dommages et préjudices, directs ou indirects, matériels ou immatériels dès lors qu'ils auraient pour cause, fondement ou origine un usage de la Plateforme  par vous-même ou par toute personne autorisée par vous à utiliser cette Plateforme. Par usage, il convient d'entendre tout usage de la Plateforme quel qu'il soit, frauduleux ou non frauduleux.

Les mineurs sont admis à accéder à la Plateforme, à la condition expresse qu'ils aient préalablement obtenus de leurs parents (ou de la personne exerçant l'autorité parentale) l'autorisation de le faire et de fournir les informations et adresses électroniques par lesquelles toute communication peut leur être transmise. Le fait pour eux de s'inscrire implique qu'ils ont obtenu cette autorisation préalable, laquelle est expressément requise sur la Plateforme au moment de l'inscription.

Les éditeurs de la Plateforme s'engagent à faire leurs meilleurs efforts pour sécuriser l'accès, la consultation et l'utilisation de la Plateforme.

[b]ARTICLE 4 - APPLICATION DE LA LOI FRANÇAISE[/b]

Les règles applicables à l'usage de la Plateforme et à tous les contenus et informations qu'elle comporte sont régies par la loi française. En cas de litige, les tribunaux français seront seuls compétents.

[b]ARTICLE 5 - CONDITIONS DE MODIFICATIONS DE LA POLITIQUE DE CONFIDENTIALITÉ[/b]

L'éditeur du site se réserve le droit de la modifier afin de garantir sa conformité avec le droit et les usages en vigueur.","[b]PREÁMBULO[/b]

Las presentes Condiciones Generales de Uso están disponibles en todo momento: excellolab.org/cgu

En ellas se establecen las normas de acceso a nuestras plataformas de la web Excello y sus subdominios, que contienen contenidos educativos digitales, en adelante la plataforma.

Al utilizar esta plataforma, usted reconoce que, como usuario –profesor y/o tutor legal de un menor–, conoce las condiciones, las acepta sin reservas y las cumple.

El responsable del tratamiento se reserva el derecho, a su entera discreción y sin previo aviso, de modificar, suprimir o completar las presentes [b]""Condiciones Generales de Uso""[/b] en cualquier momento, en particular para tener en cuenta cualquier evolución jurídica, jurisprudencial, editorial y/o técnica. La versión que prevalece es la que está accesible en línea.

Por lo tanto, le aconsejamos que consulte regularmente la última versión de las presentes Condiciones Generales de Uso.

[b]ARTÍCULO 1 - USO DEL USUARIO, INFORMACIÓN PRÁCTICA[/b]

La asociación Excello tiene por objeto la investigación, el desarrollo y la difusión de conocimientos en el ámbito de la educación, especialmente en lo que se refiere a la mejora del aprendizaje de la lectura y las matemáticas. Excello desarrolla y proporciona recursos educativos asociados, en particular mediante el uso de las nuevas tecnologías.

[b]1/ Acceso a las aplicaciones educativas creadas por Excello[/b]

Las actividades están disponibles 24 horas al día, 7 días a la semana:

- En las aplicaciones móviles de Excello, disponibles en las tiendas Android y Apple para jugar en una tableta/smartphone Android 5.1+ e iOS 11+. Se recomienda el uso de una tableta para un uso óptimo del servicio.
- En la aplicación web utilizando Google Chrome o Mozilla Firefox en Windows, Ubuntu y Android, y utilizando Safari en macOS e iOS.
- La aplicación puede ser utilizada por un profesor que crea una cuenta para su clase, o por un tutor legal que crea una cuenta para su hijo.

Una vez instalada la aplicación, el uso de Internet no es obligatorio. Sin embargo, algunas funciones estarán desactivadas: la transcripción de voz a texto y el reconocimiento de escritura.

Si la aplicación se utiliza offline (sin internet), las trazas de aprendizaje (resultados de los ejercicios) se guardan en el dispositivo y sólo se enviarán a la plataforma cuando se restablezca la conexión a internet.

[b]2/ Acceso a las plataformas creadas por Excello[/b]

Para utilizar nuestras plataformas por primera vez, deberá:

- Crear una cuenta de adulto (cuidador de niños/profesor).
- Encontrar toda la información recopilada en nuestra política de privacidad.

[b]3/ Asistencia técnica[/b]

En caso de incidencia técnica en la aplicación o plataforma, envíe un mensaje a: contact@excellolab.org

Nuestros equipos harán todo lo posible para responder y resolver cualquier incidencia lo antes posible.

[b]4/ Equipo utilizado[/b]

El dispositivo utilizado debe cumplir las siguientes especificaciones para garantizar el correcto uso de las aplicaciones Excello:

[b]Mínimo:[/b]

- Sistema: PC, Android, iOS (Chrome, Firefox, Safari >= 13)
- Procesador: 4 núcleos 1,4 GHz
- Memoria: 2 GB RAM

[b]Recomendado, para una óptima renderización:[/b]

- Sistema: PC, Android, iOS (Chrome, Firefox, Safari >= 14)
- Procesador: 4 núcleos 2 GHz
- Memoria: 2 GB RAM

[b]ARTÍCULO 2 - LICENCIA DE USO[/b]

El acceso a esta Plataforma le otorga un derecho de uso no exclusivo, privado y/o colectivo.

El uso de la Plataforma implica la aceptación sin reservas de las presentes Condiciones Generales de Uso.

Todo el contenido publicado en la Plataforma, incluidos, entre otros: textos, fotografías, ilustraciones, gráficos, infografías, mapas, videogramas, música, iconos y software, en lo sucesivo denominado [b]""el Contenido""[/b], está sujeto a una licencia CC BY-SA 4.0.

De conformidad con el artículo L. 122-4 del Código francés de la Propiedad Intelectual, toda representación o reproducción total o parcial sin el consentimiento del autor o de sus derechohabientes o causahabientes es ilícita. Lo mismo se aplica a la traducción, adaptación o transformación, arreglo o reproducción por cualquier arte o procedimiento.

Le recordamos también que la violación de los derechos de autor es un delito castigado en Francia con tres años de prisión y 300.000 euros de multa.

Del mismo modo, el Código francés de la Propiedad Intelectual castiga con tres años de prisión y 300.000 euros de multa toda fijación, reproducción, comunicación o puesta a disposición del público, a título oneroso o gratuito, o toda emisión televisiva de una interpretación o ejecución, de un fonograma, de un videograma o de un programa, sin la autorización, en su caso, del titular de los derechos.

[b]ARTÍCULO 3 - LIMITACIÓN DE RESPONSABILIDAD[/b]

Usted será el único responsable de cualquier daño o pérdida, directo o indirecto, material o inmaterial, si se debe, se basa o se origina en el uso de la Plataforma por su parte o por parte de cualquier persona autorizada por usted a utilizar la Plataforma. Por uso se entiende cualquier utilización de la Plataforma, sea fraudulenta o no.

Los menores de edad pueden acceder a la Plataforma con la condición expresa de que hayan obtenido la autorización previa de sus padres (o de la persona que ejerza la patria potestad) para hacerlo y de que faciliten la información y las direcciones de correo electrónico por las que se les pueda transmitir cualquier comunicación. El hecho de que se inscriban implica que han obtenido esta autorización previa, que se exige expresamente en la Plataforma en el momento de la inscripción.

Los editores de la Plataforma se comprometen a hacer todo lo posible para garantizar la seguridad del acceso, la consulta y la utilización de la Plataforma.

[b]ARTÍCULO 4 - APLICACIÓN DEL DERECHO FRANCÉS[/b]

Las normas aplicables a la utilización de la Plataforma y a todos los contenidos e informaciones que contiene se rigen por el derecho francés. En caso de litigio, los tribunales franceses serán los únicos competentes.

[b]ARTÍCULO 5 - CONDICIONES DE MODIFICACIÓN DE LA POLÍTICA DE CONFIDENCIALIDAD[/b]

El editor del sitio se reserva el derecho a modificarla para garantizar su conformidad con la legislación y los usos vigentes.","[b]PRÉAMBULO[/b]

As presentes Condições Gerais de Uso estão disponíveis a qualquer momento: excellolab.org/cgu

Elas determinam as regras de acesso às nossas plataformas no site Excello e seus subdomínios, onde se encontram conteúdos digitais pedagógicos, doravante denominada plataforma.

Ao utilizar esta plataforma, você reconhece, na qualidade de usuário – professor e/ou responsável legal do aluno menor de idade – que conhece os termos, os aceita sem reservas e se compromete a cumpri-los.

O responsável pelo tratamento se reserva o direito, a seu exclusivo critério e sem aviso prévio, de modificar, excluir ou adicionar disposições a estas [b]""Condições Gerais de Uso""[/b] a qualquer momento, especialmente para levar em conta qualquer evolução legal, jurisprudencial, editorial e/ou técnica. A versão prevalente é aquela acessível online.

Recomenda-se, portanto, que você consulte regularmente a última versão destas Condições Gerais de Uso.

[b]ARTIGO 1 - USO DO USUÁRIO, INFORMAÇÕES PRÁTICAS[/b]

A associação Excello tem como objetivo a pesquisa, desenvolvimento e disseminação de conhecimentos na área da educação, particularmente na melhoria da aprendizagem da leitura e matemática. A Excello desenvolve e fornece recursos pedagógicos associados, principalmente por meio de novas tecnologias.

[b]1/ Acesso aos aplicativos educativos criados pela Excello[/b]

As atividades estão disponíveis 24 horas por dia, 7 dias por semana:

- Nos aplicativos móveis da Excello, disponíveis nas lojas Android e Apple, para uso em tablets/smartphones com Android 5.1+ e iOS 11+. O uso de um tablet é recomendado para uma experiência otimizada do serviço.
- No aplicativo web, utilizando Google Chrome ou Mozilla Firefox no Windows, Ubuntu e Android, e Safari no macOS e iOS.

O uso do aplicativo pode ser feito por um professor que cria uma conta para sua turma ou por um responsável legal que cria uma conta para seu filho.

Uma vez instalado o aplicativo, o uso da internet não é obrigatório. No entanto, algumas funcionalidades serão desativadas, como transcrição de voz para texto e reconhecimento de escrita manual.

Se o aplicativo for utilizado offline (sem internet), os registros de aprendizagem (resultados dos exercícios) serão salvos no dispositivo e serão enviados para a plataforma assim que a conexão com a internet for restabelecida.

[b]2/ Acesso às plataformas criadas pela Excello[/b]

Para um primeiro uso das nossas plataformas, é necessário:

- Criar uma conta adulta (responsável legal/professor).
- Consultar todas as informações coletadas em nossa política de privacidade.

[b]3/ Assistência técnica[/b]

Em caso de problemas técnicos com o aplicativo ou a plataforma, entre em contato pelo e-mail: contact@excellolab.org

Nossa equipe fará o possível para responder e resolver os problemas o mais rápido possível.

[b]4/ Requisitos de hardware[/b]

O dispositivo utilizado deve atender aos seguintes requisitos para garantir o bom funcionamento dos aplicativos Excello:

[b]Mínimo:[/b]

- Sistema: PC, Android, iOS (Chrome, Firefox, Safari 13+)
- Processador: 4 núcleos 1.4 GHz
- Memória: 2 GB RAM

[b]Recomendado, para melhor desempenho:[/b]

- Sistema: PC, Android, iOS (Chrome, Firefox, Safari 14+)
- Processador: 4 núcleos 2 GHz
- Memória: 2 GB RAM

[b]ARTIGO 2 - LICENÇA DE USO[/b]

O acesso a esta Plataforma concede a você um direito de uso não exclusivo, privado e/ou coletivo.

O uso da Plataforma implica a aceitação sem reservas das presentes Condições Gerais de Uso.

Todo o conteúdo publicado na Plataforma, incluindo mas não se limitando a: textos, fotografias, ilustrações, gráficos, infográficos, mapas, videogramas, músicas, ícones e softwares, doravante denominados [b]""os Conteúdos""[/b], está sob licença CC BY-SA 4.0.

De acordo com o artigo L. 122-4 do Código de Propriedade Intelectual, qualquer representação ou reprodução integral ou parcial feita sem o consentimento do autor ou de seus sucessores é ilícita. O mesmo se aplica à tradução, adaptação ou transformação, arranjo ou reprodução por qualquer meio ou processo.

Lembramos também que a violação dos direitos autorais constitui crime de falsificação, punível na França com três anos de prisão e multa de 300.000 euros.

Da mesma forma, o Código de Propriedade Intelectual pune com três anos de prisão e multa de 300.000 euros qualquer fixação, reprodução, comunicação ou disponibilização pública, gratuita ou paga, de uma performance, fonograma, videograma ou programa sem a devida autorização quando exigida.

[b]ARTIGO 3 - LIMITAÇÃO DE RESPONSABILIDADE[/b]

Você é o único responsável por quaisquer danos e prejuízos, diretos ou indiretos, materiais ou imateriais, decorrentes do uso da Plataforma por você ou por terceiros autorizados por você.

Menores de idade só podem acessar a Plataforma com autorização prévia dos pais ou responsáveis.

[b]ARTIGO 4 - APLICAÇÃO DA LEI FRANCESA[/b]

As regras aplicáveis à Plataforma e seus conteúdos são regidas pela lei francesa. Em caso de litígio, os tribunais franceses terão competência exclusiva.

[b]ARTIGO 5 - MODIFICAÇÕES NA POLÍTICA DE PRIVACIDADE[/b]

O editor do site se reserva o direito de modificar a política de privacidade para garantir sua conformidade com as leis e práticas vigentes.","[b]PREMESSA[/b]

Le presenti Condizioni Generali di Utilizzo sono disponibili in qualsiasi momento: excellolab.org/cgu

Esse definiscono le regole di accesso alle nostre piattaforme sul sito Excello e sui suoi sottodomini, dove sono presenti contenuti digitali didattici, di seguito denominata la piattaforma.

Utilizzando questa piattaforma, l’utente, in qualità di utilizzatore/insegnante e/o responsabile legale dello studente minorenne, dichiara di conoscerne i termini, di accettarli senza riserva e di rispettarli.

Il titolare del trattamento si riserva il diritto, a propria esclusiva discrezione e senza preavviso, di modificare, eliminare o aggiungere disposizioni alle presenti [b]Condizioni Generali di Utilizzo[/b] in qualsiasi momento, in particolare per tenere conto di eventuali evoluzioni legislative, giurisprudenziali, editoriali e/o tecniche. La versione valida è quella accessibile online.

Si consiglia pertanto di consultare regolarmente l’ultima versione delle presenti Condizioni Generali di Utilizzo.

[b]ARTICOLO 1 - USO DELL’UTENTE, INFORMAZIONI PRATICHE[/b]

L’associazione Excello ha come obiettivo la ricerca, lo sviluppo e la diffusione delle conoscenze nel campo dell’educazione, in particolare per quanto riguarda il miglioramento dell’apprendimento della lettura e della matematica. Excello sviluppa e fornisce risorse didattiche associate, in particolare attraverso l’utilizzo delle nuove tecnologie.

[b]1/ Accesso alle applicazioni educative create da Excello[/b]

Le attività sono disponibili in modo permanente (24/7):

- Sulle applicazioni mobili di Excello, disponibili negli store Android e Apple per essere utilizzate su tablet/smartphone Android 5.1+ e iOS 11+. Si raccomanda l’uso di un tablet per un utilizzo ottimale del servizio.
- Sull’applicazione web utilizzando Google Chrome o Mozilla Firefox su Windows, Ubuntu e Android e Safari su macOS e iOS.
- L’applicazione può essere utilizzata da un insegnante che crea un account per la propria classe o da un tutore legale che crea un account per il proprio figlio.

Una volta installata l’applicazione, l’uso di Internet non è obbligatorio. Tuttavia alcune funzionalità saranno disattivate: trascrizione vocale in testo e riconoscimento della scrittura manuale.

Nel caso in cui l’applicazione venga utilizzata offline (senza Internet), le tracce di apprendimento (risultati degli esercizi) vengono salvate sul dispositivo e saranno inviate alla piattaforma solo al ripristino della connessione Internet.

[b]2/ Accesso alle piattaforme create da Excello[/b]

Per un primo utilizzo delle nostre piattaforme sarà necessario:

- Creare un account adulto (genitore/tutore o insegnante).
- Consultare tutte le informazioni raccolte nella nostra informativa sulla privacy.

[b]3/ Assistenza tecnica[/b]

In caso di problema tecnico sull’applicazione o sulla piattaforma, inviare un messaggio a: contact@excellolab.org

I nostri team faranno il possibile per rispondere e risolvere i problemi nel più breve tempo possibile.

[b]4/ Dispositivo utilizzato[/b]

Il dispositivo utilizzato deve soddisfare le seguenti caratteristiche per garantire un corretto utilizzo delle applicazioni Excello:

[b]Minimo:[/b]

- Sistema: PC Android iOS (Chrome, Firefox, Safari >= 13)
- Processore: 4 core 1.4 GHz
- Memoria: 2 GB RAM

[b]Consigliato, per prestazioni ottimali:[/b]

- Sistema: PC Android iOS (Chrome, Firefox, Safari >= 14)
- Processore: 4 core 2 GHz
- Memoria: 2 GB RAM

[b]ARTICOLO 2 - LICENZA D’USO[/b]

L’accesso alla presente Piattaforma conferisce un diritto di utilizzo non esclusivo, privato e/o collettivo.

L’utilizzo della Piattaforma comporta l’accettazione senza riserva delle presenti Condizioni Generali di Utilizzo.

Tutti i contenuti pubblicati sulla Piattaforma, inclusi a titolo esemplificativo ma non esaustivo: testi, fotografie, illustrazioni, grafici, infografiche, mappe, videogrammi, musiche, icone, software, di seguito denominati [b]«Contenuti»[/b], sono soggetti a licenza CC BY-SA 4.0.

Ai sensi dell’articolo L.122-4 del Codice della Proprietà Intellettuale francese, qualsiasi rappresentazione o riproduzione totale o parziale effettuata senza il consenso dell’autore o dei suoi aventi diritto è illecita. Lo stesso vale per traduzione, adattamento, trasformazione, arrangiamento o riproduzione con qualsiasi mezzo o procedimento.

Si ricorda inoltre che la violazione dei diritti d’autore costituisce reato di contraffazione punito in Francia con tre anni di reclusione e 300.000 euro di ammenda.

Allo stesso modo, il Codice della Proprietà Intellettuale punisce con tre anni di reclusione e 300.000 euro di ammenda qualsiasi fissazione, riproduzione, comunicazione o messa a disposizione del pubblico, a titolo oneroso o gratuito, o qualsiasi trasmissione di una prestazione, di un fonogramma, di un videogramma o di un programma, senza l’autorizzazione del titolare dei diritti, quando richiesta.

[b]ARTICOLO 3 - LIMITAZIONE DI RESPONSABILITÀ[/b]

L’utente è l’unico responsabile dei danni e dei pregiudizi, diretti o indiretti, materiali o immateriali, qualora derivino dall’utilizzo della Piattaforma da parte propria o di qualsiasi persona autorizzata. Per utilizzo si intende qualsiasi uso della Piattaforma, fraudolento o meno.

I minori possono accedere alla Piattaforma a condizione espressa di aver ottenuto preventivamente l’autorizzazione dei genitori (o di chi esercita la responsabilità genitoriale) e di fornire le informazioni e gli indirizzi email necessari per eventuali comunicazioni. L’iscrizione implica l’ottenimento di tale autorizzazione preventiva, espressamente richiesta al momento della registrazione.

Gli editori della Piattaforma si impegnano a fare del loro meglio per garantire la sicurezza dell’accesso, della consultazione e dell’utilizzo della Piattaforma.

[b]ARTICOLO 4 - APPLICAZIONE DELLA LEGGE FRANCESE[/b]

Le regole applicabili all’utilizzo della Piattaforma e a tutti i contenuti e le informazioni in essa contenuti sono disciplinate dalla legge francese. In caso di controversia, saranno competenti esclusivamente i tribunali francesi.

[b]ARTICOLO 5 - MODIFICHE ALLA POLITICA SULLA PRIVACY[/b]

L’editore del sito si riserva il diritto di modificarla al fine di garantirne la conformità alle leggi e agli usi vigenti."

CONDITIONS,Conditions,Condiciones,Condições,Condizioni
ACCEPT_GENERAL_CONDITIONS,Accepter les conditions générales,Aceptar las condiciones generales,Aceitar termos e condições,Accetta i termini e le condizioni
ACCEPT_GENERAL_CONDITIONS_ERROR,Veuillez accepter les conditions générales avant de continuer,Aceptar las condiciones generales antes de avanzar,Aceite os termos e condições antes de continuar,Accetta i termini e le condizioni prima di continuare
ACCOUNT_CREATED,Votre compte a bien été créé,Su cuenta se ha creado correctamente,Sua conta foi criada com sucesso,Il tuo account è stato creato
KALULU_READY_TO_EXPLORE,Kalulu est prêt à explorer avec vous !,¡Kalulu está listo para explorar con usted!,Kalulu está pronto para explorar com você!,Kalulu è pronto a esplorare con te!
CODES_SAVED_IN_FOLDER,"Vos codes sont enregistrés dans : {folder}","Sus códigos están guardados en: {folder}","Seus códigos estão salvos em: {folder}","I tuoi codici sono salvati in: {folder}"
CODES_AVAILABLE_IN_SETTINGS,"Vos codes restent accessibles à tout moment dans les paramètres.","Sus códigos siguen estando disponibles en los ajustes.","Seus códigos continuam disponíveis nas configurações.","I tuoi codici restano disponibili nelle impostazioni."
REGISTRATION_SUMMARY,Récapitulatif de l’inscription,Resumen del registro,Resumo do registro,Riepilogo della registrazione
SAVE_ALL_CODES,Enregistrer tous les codes,Guardar todos los códigos,Salvar todos os códigos,Salva tutti i codici
VALIDATE,Confirmer,Confirmar,Confirmar,Conferma
SUMMARY_EMAIL,Adresse email : {mail},Correo electrónico: {mail},Endereço de e-mail : {mail},Indirizzo email: {mail}
SUMMARY_TYPE,Type de compte : {type},Tipo de cuenta: {type},Tipo de conta : {type},Tipo di account: {type}
SUMMARY_METHOD,Méthode d'éducation : {method},Método de enseñanza: {method},Método educacional : {method},Metodo educativo: {method}
APP_ONLY,Application uniquement,Solo aplicación,Somente aplicativo,Solo applicazione
COMPLETE,Complète (livrets et jeux papiers),Completo (cuaderno y juegos en papel),Completo (livretos e jogos de papel),Completo (libretti e giochi cartacei)
SUMMARY_NUMBER_OF_DEVICES,Nombre d'appareils : {number},Cantidad de dispositivos: {number},Número de dispositivos : {number},Numero di dispositivi: {number}
SUMMARY_NUMBER_OF_STUDENTS,Nombre d'étudiants : {number},Cantidad de estudiantes: {number},Número de estudantes : {number},Numero di studenti: {number}
STUDENT_NUM,Étudiant {number},Estudiante {number},Estudante {number},Studente {number}
LOGOUT,Déconnexion,Cerrar sesión,Desconexão,Disconnetti
SETTINGS_ADD_DEVICE,Ajout d'un appareil,Agregar un dispositivo,Adição de um dispositivo,Aggiungi un dispositivo
SETTINGS_ADD_STUDENT,Ajout d'un étudiant,Agregar un estudiante,Adicionar um estudante,Aggiungi uno studente
SETTINGS_INTERNET_MANDATORY_TO_ADD_STUDENT,Une connexion internet est obligatoire pour ajouter un étudiant,Se requiere una conexión a internet para agregar un estudiante,É necessária uma conexão com a internet para adicionar um estudante,È necessaria una connessione Internet per aggiungere uno studente
SETTINGS_LESSONS,Leçons,Lecciones,Lições,Lezioni
CLOSE,Fermer,Cerrar,Fechar,Chiudi
REGISTER_FAILED,Une erreur est survenue,Se ha producido un error,Ocorreu um erro,Si è verificato un errore
ERROR_DOWNLOADING,Impossible de télécharger les données de jeu,No se pueden descargar los datos del juego,Não é possível fazer o download dos dados do jogo,Impossibile scaricare i dati di gioco
EXTRACTING_DATA,Extraction des données,Extracción de datos,Extração de dados,Estrazione dei dati
LESSON,Leçon,Lección,Lição,Lezione
GARDEN,Jardin,Jardín,Jardim,Giardino
GRAPHEME,Graphème,Grafema,Grafema,Grafema
LOOKANDLEARN,Regarder et apprendre,Mira y aprende,Assista e aprenda,Guarda e impara
EXERCISE1,Exercice 1,Ejercicio 1,Exercício 1,Esercizio 1
EXERCISE2,Exercice 2,Ejercicio 2,Exercício 2,Esercizio 2
EXERCISE3,Exercice 3,Ejercicio 3,Exercício 3,Esercizio 3
Locked,Verrouillé,Bloqueado,Bloqueado,Bloccato
Unlocked,Déverrouillé,Desbloqueado,Desbloqueado,Sbloccato
Completed,Terminé,Completado,Concluído,Completato
CHECKING_LANGUAGE,Vérification de la langue...,Comprobando idioma...,Verificação de idioma...,Verifica della lingua...
NO_TEACHER_SETTINGS_ON_DEVICE,Aucun paramètre enseignant n'est configuré sur cet appareil.,No hay ajustes de profesor en este dispositivo.,Nenhuma configuração de professor neste dispositivo.,Nessuna impostazione insegnante configurata su questo dispositivo.
LANGUAGE_NOT_SUPPORTED,La langue « %s » n’est pas prise en charge.,El idioma « %s » no es compatible.,O idioma « %s » não é suportado.,La lingua « %s » non è supportata.
NO_VALID_LANGUAGE_DATA_AVAILABLE,Aucune donnée de langue disponible.,No hay datos de idioma disponibles.,Não há dados de idioma disponíveis.,Nessun dato di lingua disponibile.
CHECKING_DATA,Vérification des données...,Comprobando datos...,Verificação de dados...,Verifica dei dati...
TEACHER_SETTINGS_HELP,"Les paramètres sont réservés aux adultes : appuyez sur « Paramètres », puis suivez l'instruction affichée.","Los ajustes están reservados a los adultos: pulse «Ajustes» y siga la instrucción que aparece.","As configurações são reservadas aos adultos: toque em «Configurações» e siga a instrução exibida.","Le impostazioni sono riservate agli adulti: premi «Impostazioni» e segui l'istruzione mostrata."
DELETE_ACCOUNT,Supprimer le compte,Eliminar cuenta,Excluir conta,Elimina account
DELETE_ACCOUNT_POPUP,Voulez-vous vraiment supprimer votre compte ? Cette action est irréversible !,¿De verdad quieres eliminar tu cuenta? ¡Esta acción es irreversible!,Você realmente deseja excluir sua conta? Essa ação é irreversível!,Vuoi davvero eliminare il tuo account? Questa azione è irreversibile!
CHANGE_LANGUAGE,Changer la langue,Cambiar el idioma,Mudar o idioma,Cambia lingua
CHANGE_LANGUAGE_POPUP,"Changer la langue du compte supprimera toute la progression et les données de tous les étudiants. Cette action est irréversible. Sélectionnez la nouvelle langue ci-dessous.","Cambiar el idioma de la cuenta borrará todo el progreso y los datos de todos los estudiantes. Esta acción es irreversible. Seleccione el nuevo idioma a continuación.","Mudar o idioma da conta apagará todo o progresso e os dados de todos os estudantes. Essa ação é irreversível. Selecione o novo idioma abaixo.","Cambiare la lingua dell'account cancellerà tutti i progressi e i dati di tutti gli studenti. Questa azione è irreversibile. Seleziona di seguito la nuova lingua."
CHANGE_LANGUAGE_ERROR,"Impossible de changer la langue. Veuillez vérifier votre connexion et réessayer.","No se pudo cambiar el idioma. Compruebe su conexión y vuelva a intentarlo.","Não foi possível mudar o idioma. Verifique sua conexão e tente novamente.","Impossibile cambiare la lingua. Verifica la connessione e riprova."
DISCONNECTED_ERROR,Vous avez été déconnecté. Veuillez renseigner vos identifiants à nouveau.,Se ha cerrado la sesión. Vuelva a introducir sus datos de acceso.,Você foi desconectado. Digite seus detalhes de login novamente.,Sei stato disconnesso. Inserisci nuovamente le tue credenziali.
INVALID_LANGUAGE_DIRECTORY,Dossier de langue invalide,Carpeta de idioma no válida,Pasta de idioma inválida,Cartella lingua non valida
